"",model.coefficients
(Intercept),-0.186553993634788
wavelet_LHH_glcm_InverseVariance_AP,0.252822533835176
log_sigma_5_0_mm_3D_glszm_SizeZoneNonUniformityNormalized_PVP,-0.315789720589077
wavelet_LLH_ngtdm_Busyness_AP,-0.402669899467572
log_sigma_5_0_mm_3D_firstorder_Kurtosis_PVP,-0.116181485463137
wavelet_HHL_glcm_InverseVariance_T2WI,-0.0938257058237628
wavelet_LLH_ngtdm_Busyness_T2WI,-0.0828015670283718
original_glcm_InverseVariance_T2WI,-0.128874928894482
original_glszm_LargeAreaLowGrayLevelEmphasis_AP,-0.516929091970052
wavelet_LHH_firstorder_Skewness_AP,-0.419660914193963
wavelet_HLH_gldm_LargeDependenceLowGrayLevelEmphasis_PVP,0.213960564361583
wavelet_HHL_firstorder_RootMeanSquared_T2WI,0.511643124164193
wavelet_HLL_glcm_ClusterTendency_AP,-0.378782382334842
wavelet_LLL_firstorder_Energy_PVP,0.0261859633866253
